T (K),"-CH3,neutral","-CH3,P-based","-CH3,N-based","-CH3,anion-based",-CH2-neutral,-CH2-P-based,-CH2-N-based,-CH2-anion-based,>CH-,>C<,-OH,-O-,-COOH,-COO-,-NH2,-NH-,>N-cation-based,>N-anion-based,>N-neutral,-CN,-F,-Br,-I,-Pcation-based,-Panion-based,-B,-S-, -SO2,=CH-, =C<, -O-, =N-
283.15,0,0,1,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,2
293.15,0,0,1,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,2
303.15,0,0,1,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,2
313.15,0,0,1,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,2
323.15,0,0,1,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,2
333.15,0,0,1,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,2
343.15,0,0,1,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,2
318.15,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2
328.15,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2
338.15,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2
348.15,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2
358.15,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2
