J3_2%,J3_10%,J3_30%,J3_50%,J3_70%,J3_90%,J3_100%
363.2,402.5,434.7,457.5,479.8,507.7,554.5
354.6,400.0,432.7,455.3,477.9,506.4,553.1
366.4,401.6,433.7,456.2,478.8,507.1,544.0
361.9,400.7,433.7,451.7,480.5,510.0,551.6
359.6,400.2,433.6,457.2,480.8,510.0,553.0
366.4,403.0,434.5,456.8,479.2,507.1,545.8
367.9,405.0,436.4,459.1,481.3,509.5,555.8
367.1,403.2,435.9,459.3,482.4,511.0,546.2
360.9,399.5,433.2,457.0,480.1,508.2,552.4
360.1,397.0,430.1,453.0,475.2,502.1,535.8
367.5,401.0,431.5,452.8,473.8,500.2,547.1
363.4,399.1,433.1,458.0,482.9,514.6,559.6
362.8,398.0,430.0,452.6,474.8,503.0,550.2
359.7,396.2,430.4,454.8,479.1,509.9,549.4
362.2,398.0,432.1,456.7,481.4,495.3,562.2
360.1,397.2,431.5,456.1,480.7,511.8,560.4
364.7,399.5,432.5,456.0,479.5,508.7,555.7
355.9,390.5,423.3,445.3,467.1,495.0,548.0
359.7,394.4,426.7,448.7,470.6,497.7,533.2
360.6,396.6,428.2,458.7,472.7,500.4,546.8
360.5,396.6,428.4,451.0,473.1,500.4,547.4
357.0,394.4,427.5,450.5,473.3,501.1,538.7
357.4,396.1,428.6,451.3,473.8,501.1,540.3
352.8,390.9,423.2,444.5,466.1,493.0,535.1
357.0,399.0,430.0,451.0,472.0,501.0,540.0
353.7,392.6,424.6,445.7,466.8,492.9,538.9
355.1,391.6,423.2,444.2,465.2,497.1,532.1
352.6,392.1,425.0,446.5,467.8,494.2,542.9
353.8,391.9,423.8,445.0,466.1,492.4,542.0
353.1,393.6,425.6,447.7,469.4,495.8,541.3
352.7,392.6,424.8,446.9,468.7,494.8,541.0
358.4,394.7,425.7,446.7,467.3,492.3,537.2
351.0,387.5,419.7,440.4,460.7,486.4,532.9
357.4,390.4,422.8,443.7,464.1,489.2,533.5
354.7,391.4,423.0,443.6,463.7,488.8,533.2
351.5,387.9,420.1,441.0,461.5,487.3,541.9
355.0,391.6,423.0,443.1,463.7,488.7,532.1
353.6,391.6,425.8,447.4,469.1,486.7,539.0
347.1,383.9,417.7,439.7,461.5,488.3,537.8
347.3,383.1,416.0,437.5,459.5,490.2,540.3
347.4,382.9,415.5,436.4,457.3,483.9,531.5
344.4,381.3,414.5,435.5,455.8,482.0,523.8
348.1,381.2,411.8,433.6,455.1,482.0,530.8
343.9,380.2,413.4,434.4,455.1,481.8,531.4
351.0,385.4,416.3,436.1,456.0,482.1,531.0
355.1,390.3,422.1,443.5,464.8,491.2,538.1
354.4,390.0,422.1,443.7,464.0,491.0,537.3
351.3,388.7,421.2,442.6,463.7,490.0,537.3
351.4,387.2,424.4,441.6,460.2,482.6,527.6
352.0,387.6,422.6,441.9,462.2,483.9,527.8
351.2,386.4,420.2,441.0,464.2,490.2,536.2
345.0,389.8,425.3,448.6,471.4,501.1,540.7
356.8,393.3,426.8,449.2,471.5,500.9,544.0
352.9,391.1,425.8,448.7,471.9,503.0,568.0
361.8,398.9,430.7,452.7,474.2,501.0,542.2
359.8,398.7,431.2,454.6,477.2,505.0,549.4
356.2,401.0,433.8,455.2,478.4,505.8,540.8
365.8,402.2,434.2,456.8,478.0,504.2,554.6
364.6,400.0,433.6,457.6,480.0,508.0,550.2
364.0,405.8,431.4,454.0,484.0,508.6,544.8
